Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
19,24,17.1768,0.00895,17.15848,0.00041,*,*,*,*,*,*,*,*,*,*,*,*,*
19,26,16.15758,0.01361,16.18288,0.00066,*,*,*,*,*,*,*,*,*,*,*,*,*
19,28,15.23072,0.01279,15.23897,0.00149,*,*,*,*,*,*,*,*,*,*,*,*,*
19,30,10.76563,0.07033,10.04215,0.00161,*,*,*,*,*,*,*,*,*,*,*,*,*
19,32,*,*,9.04734,0.01307,*,*,*,*,*,*,*,*,*,*,*,*,*
19,34,*,*,5.92216,0.11254,*,*,*,*,*,*,*,*,*,*,*,*,*
19,44,*,*,*,*,*,*,*,*,*,*,-0.726599,*,*,-0.123913,*,*,*
19,46,*,*,*,*,*,*,*,*,*,-0.128797,-0.543894,*,*,-0.192208,*,*,-2.19
19,48,*,*,*,*,*,*,*,*,*,-0.677844,-1.078403,-0.388579,-0.199048,-0.315189,*,-0.2,*
19,50,*,*,*,*,*,*,*,*,*,-0.92277,-1.740167,-0.659977,-0.452781,-0.385161,*,-1.0,*
19,52,*,*,*,*,*,*,*,*,*,-1.309823,-2.225844,-0.796654,-0.549518,-0.585068,*,-3.42,*
19,54,*,*,*,*,*,*,*,*,-0.078417,-1.747881,-2.805058,-1.138801,-0.875245,-0.815319,*,-4.36,*
19,56,*,*,*,*,*,*,*,*,-0.50956,-2.070294,-3.207864,-1.475783,-1.111315,-1.008527,*,-4.79,*
19,58,*,*,*,*,*,*,*,*,-0.681743,-2.334182,-3.215839,-1.549733,-1.172682,-1.203393,*,-4.28,*
19,60,*,*,*,*,*,*,*,*,-1.668072,-3.046381,-3.887159,-1.869026,-1.225636,-1.085417,*,-6.64,*
19,62,*,*,*,*,*,*,*,*,-3.059728,-4.341403,-5.156207,-3.193441,-2.357417,-2.196355,*,-6.67,*
19,64,*,*,*,*,*,*,*,*,-5.057767,-5.554885,-6.750182,-5.161099,-4.679618,-4.538384,*,-9.68,*
19,66,*,*,*,*,*,*,*,*,-5.513521,-6.247801,-7.094381,-5.746144,-5.15773,-4.976473,*,-7.7,*
19,68,*,*,*,*,*,*,*,*,-5.469314,-6.438007,-6.533236,-5.774473,-5.081478,-5.211197,*,-7.88,*
19,70,*,*,*,*,*,*,*,*,-5.514452,-6.691868,-7.665488,-5.178615,-5.000182,-5.314751,*,*,*
19,72,*,*,*,*,*,*,*,*,-5.500073,-6.912157,-8.614554,-6.615827,-4.984512,-5.244326,*,*,*
19,74,*,*,*,*,*,*,*,*,-5.291228,-6.952602,-7.82077,-5.855982,-4.957031,-5.125986,*,*,*
21,20,30.617,0.024,30.61234,0.024,*,*,*,*,*,*,*,*,*,*,*,*,*
21,22,23.68817,0.00186,23.68832,0.00186,*,*,*,*,*,*,*,*,*,*,*,*,*
21,24,21.0225,0.00203,21.02643,0.00198,*,*,*,*,*,*,*,*,*,*,*,*,*
21,26,19.40696,0.00199,19.40733,0.00204,*,*,*,*,*,*,*,*,*,*,*,*,*
21,28,18.36288,0.00411,18.3673,0.00332,*,*,*,*,*,*,*,*,*,*,*,*,*
21,30,12.80845,0.02021,12.81005,0.02018,*,*,*,*,*,*,*,*,*,*,*,*,*
21,32,*,*,11.82076,0.09619,*,*,*,*,*,*,*,*,*,*,*,*,*
21,34,*,*,7.39518,0.46398,*,*,*,*,*,*,*,*,*,*,*,*,*
21,36,*,*,6.97916,1.38097,*,*,*,*,*,*,*,*,*,*,*,*,*
21,52,*,*,*,*,*,*,*,*,*,*,-1.028138,*,*,*,*,-1.64,*
21,54,*,*,*,*,*,*,*,*,*,-0.178504,-1.701378,*,*,*,*,-2.86,-0.52
21,56,*,*,*,*,*,*,*,*,*,-0.470802,-1.745481,*,*,*,*,-3.61,-0.75
21,58,*,*,*,*,*,*,*,*,*,-1.219909,-2.286842,-0.49097,*,*,*,-3.27,-1.68
21,60,*,*,*,*,*,*,*,*,-1.013564,-2.15885,-3.088341,-1.152106,-0.403844,-0.438306,*,-5.43,*
21,62,*,*,*,*,*,*,*,*,-2.380719,-3.579067,-4.416567,-2.538205,-1.620318,-1.645947,*,-6.04,*
21,64,*,*,*,*,*,*,*,*,-4.329049,-5.052489,-6.109189,-4.525973,-3.93476,-4.243548,*,-5.81,*
21,66,*,*,*,*,*,*,*,*,-4.954872,-5.849836,-6.66453,-5.236217,-4.466367,-4.693136,*,-5.51,*
21,68,*,*,*,*,*,*,*,*,-4.193255,-5.914343,-6.650927,-5.123065,-4.365194,-4.764002,*,-6.91,*
21,70,*,*,*,*,*,*,*,*,-4.316482,-5.986242,-6.678934,-5.128168,-4.336607,-4.8099,*,-6.36,*
21,72,*,*,*,*,*,*,*,*,-4.388579,-5.896884,-6.728606,-5.186197,-4.386117,-4.570392,*,-7.04,*
21,74,*,*,*,*,*,*,*,*,-4.439442,-6.02146,-6.811245,-5.167998,-4.463048,-4.520683,*,-5.34,*
21,76,*,*,*,*,*,*,*,*,-4.549004,-6.123363,-6.805884,-5.058734,-4.542989,-4.482243,*,*,*
23,22,*,*,30.11229,0.04286,*,*,*,*,*,*,*,*,*,*,*,*,*
23,24,26.26506,0.01703,26.26324,0.00086,*,*,*,*,*,*,*,*,*,*,*,*,*
23,26,22.09753,0.00087,22.09795,0.00083,*,*,*,*,*,*,*,*,*,*,*,*,*
23,28,20.38707,0.00128,20.38455,0.00092,*,*,*,*,*,*,*,*,*,*,*,*,*
23,30,15.79009,0.00325,15.78985,0.00314,*,*,*,*,*,*,*,*,*,*,*,*,*
23,32,13.44529,0.10005,13.43616,0.09515,*,*,*,*,*,*,*,*,*,*,*,*,*
23,34,11.17988,0.25353,11.4115,0.12459,*,*,*,*,*,*,*,*,*,*,*,*,*
23,36,9.02045,0.38569,9.5612,0.18078,*,*,*,*,*,*,*,*,*,*,*,*,*
23,38,*,*,8.81705,0.90877,*,*,*,*,*,*,*,*,*,*,*,*,*
23,54,*,*,*,*,*,*,*,*,*,*,-0.427276,*,*,*,*,-1.2,*
23,56,*,*,*,*,*,*,*,*,*,*,-0.795624,*,*,*,*,-2.02,-0.2
23,58,*,*,*,*,*,*,*,*,*,-0.137339,-1.320905,*,*,*,*,-2.8,-0.91
23,60,*,*,*,*,*,*,*,*,-0.256413,-1.211844,-2.234782,-0.397618,*,*,*,-2.8,-1.17
23,62,*,*,*,*,*,*,*,*,-1.562844,-2.597146,-3.475227,-1.754853,-0.829003,-1.050531,*,-3.67,*
23,64,*,*,*,*,*,*,*,*,-3.14617,-4.019474,-4.891383,-3.377162,-2.804427,-3.688733,*,-4.09,*
23,66,*,*,*,*,*,*,*,*,-3.052105,-4.873131,-5.414358,-4.110942,-3.408756,-4.174019,*,-4.74,*
23,68,*,*,*,*,*,*,*,*,-2.386753,-4.529315,-5.355933,-4.193611,-3.459088,-3.442822,*,-5.18,*
23,70,*,*,*,*,*,*,*,*,-2.667021,-4.613547,-5.027629,-3.768211,-3.662064,-3.616368,*,-4.94,*
23,72,*,*,*,*,*,*,*,*,-2.908692,-4.642479,-5.371933,-4.013499,-3.503433,-3.54822,*,-5.5,*
23,74,*,*,*,*,*,*,*,*,-3.207293,-4.920747,-5.618675,-4.196503,-3.699,-3.702319,*,-4.77,*
23,76,*,*,*,*,*,*,*,*,-3.540022,-5.189738,-5.738867,-4.241112,-3.910155,-3.848803,*,-6.4,*
23,78,*,*,*,*,*,*,*,*,-3.795765,-5.440115,-6.081167,-4.562625,-4.071143,-3.985096,*,-6.54,*
25,24,*,*,31.19689,0.03175,*,*,*,*,*,*,*,*,*,*,*,*,*
25,26,26.76839,0.02402,26.76588,0.00223,*,*,*,*,*,*,*,*,*,*,*,*,*
25,28,22.5892,0.00101,22.58887,0.00066,*,*,*,*,*,*,*,*,*,*,*,*,*
25,30,19.16531,0.00047,19.16493,0.00043,*,*,*,*,*,*,*,*,*,*,*,*,*
25,32,15.91885,0.00191,15.91647,0.00152,*,*,*,*,*,*,*,*,*,*,*,*,*
25,34,14.1354,0.03006,14.1817,0.00277,*,*,*,*,*,*,*,*,*,*,*,*,*
25,36,12.21881,0.22988,12.35944,0.00329,*,*,*,*,*,*,*,*,*,*,*,*,*
25,38,10.93805,0.34451,11.28757,0.00439,*,*,*,*,*,*,*,*,*,*,*,*,*
25,40,10.46418,0.59564,10.22292,0.00527,*,*,*,*,*,*,*,*,*,*,*,*,*
25,56,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.18,*
25,58,*,*,*,*,*,*,*,*,*,*,-0.345193,*,*,*,*,-0.86,*
25,60,*,*,*,*,*,*,*,*,*,-0.17241,-1.323569,*,*,*,*,-1.62,-0.69
25,62,*,*,*,*,*,*,*,*,-0.633438,-1.437813,-2.358643,-0.817429,*,-0.379185,*,-1.69,-0.95
25,64,*,*,*,*,*,*,*,*,-1.81584,-2.584468,-3.307502,-1.96848,-1.504253,-2.570861,*,-2.49,*
25,66,*,*,*,*,*,*,*,*,-1.075768,-3.35676,-3.677894,-2.595466,-2.109565,-3.170376,*,-2.98,*
25,68,*,*,*,*,*,*,*,*,-0.952087,-3.072692,-3.6748,-2.891485,-2.291584,-2.219398,*,-3.3,*
25,70,*,*,*,*,*,*,*,*,-1.320144,-2.969263,-3.638096,-2.58528,-2.758936,-2.165063,*,-4.01,*
25,72,*,*,*,*,*,*,*,*,-1.628392,-3.367381,-3.899543,-2.597929,-2.739738,-2.406106,*,-4.11,*
25,74,*,*,*,*,*,*,*,*,-1.963118,-3.772061,-4.187713,-2.935392,-2.655078,-2.73133,*,-4.27,*
25,76,*,*,*,*,*,*,*,*,-2.344084,-4.174377,-4.609607,-3.331875,-2.974862,-3.050512,*,-4.6,*
25,78,*,*,*,*,*,*,*,*,-2.719411,-4.54089,-5.155621,-3.722525,-3.286116,-3.292848,*,-4.66,*
25,80,*,*,*,*,*,*,*,*,-3.078713,-4.876056,-5.608696,-4.078518,-3.554002,-3.55892,*,-5.18,*
27,26,*,*,31.45992,0.04847,*,*,*,*,*,*,*,*,*,*,*,*,*
27,28,27.52537,0.01801,27.51309,0.0017,*,*,*,*,*,*,*,*,*,*,*,*,*
