N	Z	A	EL	MASS EXCESS	BINDING ENERGY/A
				(keV)		(keV)
29	18	47	Ar	-25907.836	100.083	8322.926	2.129
28	19	47	K	-35696.272	7.963	8514.544	0.169
27	20	47	Ca	-42340.123	2.263	8639.257	0.048
26	21	47	Sc	-44332.121	2.029	8664.995	0.043
25	22	47	Ti	-44932.394	0.822	8661.121	0.017
24	23	47	V	-42002.051	0.836	8582.127	0.018
23	24	47	Cr	-34558.385	14.036	8407.106	0.299
22	25	47	Mn	-22263#	158#	8129#	3#
21	26	47	Fe	-6623#	261#	7779#	6#
20	27	47	Co	10703#	503#	7394#	11#
32	16	48	S	13199#	904#	7536#	19#
31	17	48	Cl	-4704#	699#	7892#	15#
30	18	48	Ar	-23716#	298#	8272#	6#
29	19	48	K	-32123.935	24.106	8430.887	0.502
28	20	48	Ca	-44214.129	4.082	8666.467	0.085
27	21	48	Sc	-44496.101	5.4	8656.043	0.113
26	22	48	Ti	-48487.727	0.822	8722.903	0.017
25	23	48	V	-44475.385	2.551	8623.013	0.053
24	24	48	Cr	-42819.18	7.379	8572.21	0.154
23	25	48	Mn	-29323.431	111.779	8274.75	2.329
22	26	48	Fe	-18160#	70#	8026#	1#
21	27	48	Co	1639#	401#	7597#	8#
20	28	48	Ni	18397#	503#	7232#	10#
33	16	49	S	22001#	952#	7367#	19#
32	17	49	Cl	298#	801#	7794#	16#
31	18	49	Ar	-18146#	503#	8154#	10#
30	19	49	K	-30319.265	70.119	8386.719	1.431
29	20	49	Ca	-41289.265	4.086	8594.63	0.083
28	21	49	Sc	-46552.368	3.997	8686.074	0.082
27	22	49	Ti	-48558.799	0.822	8711.055	0.017
26	23	49	V	-47956.943	1.161	8682.806	0.024
25	24	49	Cr	-45330.484	2.417	8613.239	0.049
24	25	49	Mn	-37615.586	24.01	8439.826	0.49
23	26	49	Fe	-24582#	149#	8158#	3#
22	27	49	Co	-9576#	261#	7836#	5#
21	28	49	Ni	8998#	401#	7441#	8#
33	17	50	Cl	7303#	904#	7659#	18#
32	18	50	Ar	-14503#	699#	8080#	14#
31	19	50	K	-25352.141	278.439	8281.068	5.569
30	20	50	Ca	-39570.832	9.268	8549.795	0.185
29	21	50	Sc	-44536.885	15.546	8633.469	0.311
28	22	50	Ti	-51426.672	0.823	8755.618	0.016
27	23	50	V	-49221.554	1.005	8695.869	0.02
26	24	50	Cr	-50259.499	1.001	8700.981	0.02
25	25	50	Mn	-42626.814	1.026	8532.68	0.021
24	26	50	Fe	-34475.541	60.004	8354.008	1.2
23	27	50	Co	-17195#	168#	7993#	3#
22	28	50	Ni	-3791#	261#	7709#	5#
34	17	51	Cl	13497#	997#	7546#	20#
33	18	51	Ar	-7797#	699#	7948#	14#
32	19	51	K	-22002#	503#	8211#	10#
31	20	51	Ca	-35863.251	93.793	8467.716	1.839
30	21	51	Sc	-43218.184	20.412	8596.59	0.4
29	22	51	Ti	-49727.849	0.958	8708.89	0.019
28	23	51	V	-52201.383	1.001	8742.051	0.02
27	24	51	Cr	-51448.807	1.001	8711.954	0.02
26	25	51	Mn	-48241.341	0.998	8633.723	0.02
25	26	51	Fe	-40222.341	15.016	8461.147	0.294
24	27	51	Co	-27274#	149#	8192#	3#
23	28	51	Ni	-11439#	261#	7866#	5#
34	18	52	Ar	-2999#	904#	7858#	17#
33	19	52	K	-16199#	699#	8097#	13#
32	20	52	Ca	-32509.141	698.621	8395.59	13.435
31	21	52	Sc	-40356.541	193.271	8531.457	3.717
30	22	52	Ti	-49464.837	7.119	8691.571	0.137
29	23	52	V	-51441.31	1.009	8714.535	0.019
28	24	52	Cr	-55416.933	0.779	8775.944	0.015
27	25	52	Mn	-50705.444	1.961	8670.294	0.038
26	26	52	Fe	-48331.615	6.547	8609.598	0.126
25	27	52	Co	-33916#	65#	8317#	1#
24	28	52	Ni	-22654#	84#	8086#	2#
23	29	52	Cu	-2627#	261#	7686#	5#
35	18	53	Ar	4602#	997#	7719#	19#
34	19	53	K	-11998#	699#	8017#	13#
33	20	53	Ca	-27898#	503#	8302#	9#
32	21	53	Sc	-37623#	298#	8471#	6#
31	22	53	Ti	-46828.839	100.051	8630.132	1.888
30	23	53	V	-51848.839	3.193	8710.088	0.06
29	24	53	Cr	-55284.741	0.771	8760.155	0.015
28	25	53	Mn	-54687.904	0.817	8734.133	0.015
27	26	53	Fe	-50945.323	1.773	8648.757	0.033
26	27	53	Co	-42644.824	18.01	8477.382	0.34
25	28	53	Ni	-29370#	158#	8212#	3#
24	29	53	Cu	-13460#	261#	7897#	5#
35	19	54	K	-5403#	904#	7896#	17#
34	20	54	Ca	-23893#	699#	8224#	13#
33	21	54	Sc	-34218.841	370.138	8400.753	6.854
32	22	54	Ti	-45594.395	124.717	8596.924	2.31
31	23	54	V	-49890.954	15.02	8662.002	0.278
30	24	54	Cr	-56932.545	0.765	8777.914	0.014
29	25	54	Mn	-55555.37	1.263	8737.923	0.023
28	26	54	Fe	-56252.456	0.69	8736.344	0.013
27	27	54	Co	-48009.541	0.717	8569.209	0.013
26	28	54	Ni	-39210.779	50.004	8391.781	0.926
25	29	54	Cu	-21694#	214#	8053#	4#
24	30	54	Zn	-6567#	401#	7758#	7#
36	19	55	K	-270#	997#	7806#	18#
35	20	55	Ca	-18118#	699#	8116#	13#
34	21	55	Sc	-29580.571	735.979	8310.432	13.381
33	22	55	Ti	-41670.332	152.102	8516.021	2.765
32	23	55	V	-49151.491	100.003	8637.817	1.818
31	24	55	Cr	-55107.491	0.788	8731.884	0.014
30	25	55	Mn	-57710.58	0.68	8764.988	0.012
29	26	55	Fe	-57479.368	0.686	8746.56	0.012
28	27	55	Co	-54027.557	0.73	8669.575	0.013
27	28	55	Ni	-45335.579	11.017	8497.315	0.2
26	29	55	Cu	-31624#	298#	8234#	5#
25	30	55	Zn	-14923#	252#	7916#	5#
36	20	56	Ca	-13441#	904#	8032#	16#
35	21	56	Sc	-25271#	699#	8229#	12#
34	22	56	Ti	-38936.785	195.95	8459.266	3.499
33	23	56	V	-46080.109	204.259	8572.855	3.647
32	24	56	Cr	-55281.245	1.863	8723.191	0.033
31	25	56	Mn	-56909.71	0.687	8738.3	0.012
30	26	56	Fe	-60605.352	0.685	8790.323	0.012
29	27	56	Co	-56039.352	2.114	8694.817	0.038
28	28	56	Ni	-53903.674	11.072	8642.709	0.198
27	29	56	Cu	-38601#	140#	8355#	2#
26	30	56	Zn	-25728#	261#	8112#	5#
25	31	56	Ga	-4741#	261#	7723#	5#
37	20	57	Ca	-7120#	1000#	7922#	18#
36	21	57	Sc	-20688#	699#	8146#	12#
35	22	57	Ti	-33543.903	455.424	8357.848	7.99
34	23	57	V	-44188.742	232.979	8530.874	4.087
33	24	57	Cr	-52524.14	1.863	8663.384	0.033
32	25	57	Mn	-57486.8	1.85	8736.723	0.032
31	26	57	Fe	-60180.13	0.686	8770.249	0.012
30	27	57	Co	-59344.204	0.713	8741.858	0.013
29	28	57	Ni	-56081.969	1.814	8670.901	0.032
28	29	57	Cu	-47309.576	15.657	8503.274	0.275
27	30	57	Zn	-32800#	102#	8235#	2#
26	31	57	Ga	-15901#	261#	7925#	5#
37	21	58	Sc	-15174#	801#	8050#	14#
36	22	58	Ti	-30767#	699#	8305#	12#
35	23	58	V	-40208.743	247.93	8454.33	4.275
34	24	58	Cr	-51834.726	202.917	8641.29	3.499
33	25	58	Mn	-55906.827	30.008	8698.01	0.517
32	26	58	Fe	-62153.418	0.704	8792.221	0.012
31	27	58	Co	-59845.868	1.25	8738.947	0.022
30	28	58	Ni	-60227.694	0.609	8732.041	0.011
29	29	58	Cu	-51662.055	1.563	8570.869	0.027
28	30	58	Zn	-42297.694	50.004	8395.926	0.862
27	31	58	Ga	-23986#	214#	8067#	4#
26	32	58	Ge	-8374#	317#	7784#	5#
38	21	59	Sc	-10042#	904#	7963#	15#
37	22	59	Ti	-25216#	699#	8207#	12#
36	23	59	V	-37066.562	307.377	8394.581	5.21
35	24	59	Cr	-47891.49	244.333	8564.795	4.141
