A	elt	Z	S(2n)	S(2p)	Q(a)	Q(2B-)	Q(ep)	Q(B-	n)		
201	Tl	81	15264.08	31.34	12665.04	14.19	1533.98	14.19	-5764.4	20.77	-7229.72
201	Pb	82	16181.87	17	10302.91	13.76	2844.28	14.12	-8749.85	14.61	-3056.74
201	Bi	83	16761.5	18.5	7934.98	31.8	4500.3	6	-10627	17.25	-1658.17
201	Po	84	17455.34	18.72	5867.32	11.15	5799.3	1.7	-12448.86	49.98	2440.9
201	At	85	18108.7	9.8	4569.81	13.37	6472.84	1.57	-14378.01	12.22	2292.35
201	Rn	86	18715.51	62.34	3441.78	52.91	6860.75	2.28	-16009.13	53.72	5580.47
201	Fr	87	19325.45	16.46	2165.99	10.56	7518.91	4.33	*	5287.5	26.1
201	Ra	88	*	1141.69	42.72	8001.53	12.24	*	8652.6	24.47	*
Os	76	10451#	499#	*	*	9605#	401#	*	-1262#	446#	
202	Ir	77	11308#	357#	*	-2062#	499#	7577#	299#	*	-1107#
202	Pt	78	12235.6	32.2	18491#	299#	-1280#	197#	4653.2	25.16	-14742#
202	Au	79	13255.52	35.44	17320#	197#	-957#	197#	1627.24	23.34	-11745#
202	Hg	80	13984.69	0.59	15324.1	20.12	133.76	2.19	-1404.71	3.85	-10893.58
202	Tl	81	15075.62	5.96	13318.06	26.76	1175.65	1.67	-5238.73	15.48	-6868.47
202	Pb	82	15832.19	11.55	11015.28	3.83	2588.78	3.82	-7999	9.45	-5567.04
202	Bi	83	16513.36	27.12	8272.2	16.44	4362.35	17.15	-10150.75	31.93	-849.62
202	Po	84	17142.49	11.45	6268.5	13.89	5700.96	1.69	-11666.98	19.51	40.45
202	At	85	17745.47	37.16	4797.92	35.79	6353.84	1.34	-13686.97	28.85	3536.73
202	Rn	86	18412.5	22.2	3910.81	19.03	6773.8	1.83	-15349.5	23.05	2957.58
202	Fr	87	19178.9	31.41	2493.81	25.46	7385.83	3.89	*	6596.7	10.8
202	Ra	88	*	1498.32	20.3	7880.3	6.74	*	5858.21	51.95	*
Os	76	8544#	499#	*	*	11986#	446#	*	1065#	499#	
203	Ir	77	10936#	446#	*	-2254#	566#	8454#	401#	*	-69#
203	Pt	78	12028#	202#	18965#	357#	-1568#	277#	5643#	196#	-13828#
203	Au	79	12885.36	4.38	17825#	196#	-1169.84	41.17	2617.94	3.26	-13656#
203	Hg	80	13749.36	1.58	16106.49	50.12	-305.5	2.69	-482.71	6.57	-9866.11
203	Tl	81	14723.17	14.15	13938.6	3.31	907.45	1.24	-4236.55	12.83	-8697.37
203	Pb	82	15658.16	15.22	11701.96	6.54	2334.6	6.55	-7475.67	10.86	-4730.2
203	Bi	83	16251.03	19.8	8921.93	19.09	4109.65	30.73	-9362.27	16.59	-2833.58
203	Po	84	16932.34	9.97	6617.79	16.24	5496	5	-11157.19	20.13	1340.75
203	At	85	17515.75	13.37	5324.06	18.5	6210.09	0.84	-13038.97	12.28	1289.96
203	Rn	86	18224.01	52.95	4210.46	18.83	6629.87	2.08	-14815.42	42.24	4498.95
203	Fr	87	18854.79	11.01	2912.09	10.29	7274.87	3.57	*	4178.18	28.66
203	Ra	88	19417.71	43.19	1843.89	62.66	7736.26	6.37	*	7647.39	41.96
Ir	77	9054#	499#	*	*	10963#	448#	*	1868#	446#	
204	Pt	78	11372#	197#	19412#	446#	-1568#	357#	6768#	196#	-17571#
204	Au	79	12440#	201#	18452#	359#	-1464#	280#	3696#	200#	-13249#
204	Hg	80	13487.46	0.73	16575.96	25.16	-515.9	20.12	419.75	1.18	-12353#
204	Tl	81	14508.56	1.56	14571.11	23.32	469.03	26.74	-3700.25	9.25	-8491.68
204	Pb	82	15311.91	3.92	12342.51	1.05	1968.46	1.14	-6768.65	10.95	-7129.6
204	Bi	83	16047.05	17.92	9243.62	9.32	3976.42	10.84	-8770.46	24.1	-2173.49
204	Po	84	16542.26	13.96	6978.57	11.63	5484.89	1.37	-10371.05	13.2	-843.66
204	At	85	17427.34	35.77	5711.89	27.09	6070.41	1.22	-12482.74	33.18	2360.42
204	Rn	86	17838.19	18.97	4606.52	11.36	6546.65	1.82	-14026.98	16.95	2051.72
204	Fr	87	18631.56	25.57	3379.9	37.24	7170.29	2.39	*	5480.9	26.76
204	Ra	88	19160.71	21.4	2246.52	23.21	7636.64	6.79	*	4921.51	23.73
Ir	77	7413#	643#	*	*	12810#	540#	*	3891#	540#	
205	Pt	78	9482#	357#	19904#	499#	-152#	422#	9321#	298#	*
205	Au	79	11769#	196#	18658#	446#	-1298#	277#	5051#	196#	-16371#
205	Hg	80	13161.11	3.67	17239#	196#	-971.94	50.24	1482.5	3.7	-11655#
205	Tl	81	14202.13	0.54	15255.38	3.22	154.92	3.27	-2756.37	5.13	-10460#
205	Pb	82	15126.32	6.46	13078.92	1.27	1467.39	1.06	-6248.84	10.12	-6369.06
205	Bi	83	15682.31	13.76	9881.07	5.12	3691.42	15.04	-8092.56	15.92	-4007.33
205	Po	84	16353.14	13.27	7312.78	12	5324.72	9.94	-9811.61	11.27	299.52
205	At	85	16952.02	18.42	6025.06	19.73	6019.57	1.72	-11662.13	16.99	384.98
205	Rn	86	17698.72	18.87	4976.84	10.04	6386.48	1.84	-13548.78	70.7	3342.49
205	Fr	87	18328.86	10	3725.2	13.16	7054.71	2.4	-15416.51	51.42	3276.65
205	Ra	88	18965.37	80.17	2585.25	72.83	7486.4	50	*	6520.21	70.91
205	Ac	89	*	1347.67	51.2	8093.2	50	*	6210.41	56.45	*
Pt	78	7852#	357#	*	1031#	499#	11314#	299#	*	1067#	357#
206	Au	79	9707#	359#	19105#	499#	137#	422#	8039#	298#	-15544#
206	Hg	80	12398.29	20.44	17602#	197#	-678.59	32.41	2839.78	20.41	-15268#
206	Tl	81	14049.86	0.59	16181#	200#	-325.3	23.32	-2225.09	7.57	-10773#
206	Pb	82	14818.33	0.12	13673.38	1.18	1134.82	1.05	-5596.91	4.13	-8786.81
206	Bi	83	15525.02	11.94	10260.07	7.55	3527.02	7.71	-7598.56	16.87	-3496.37
206	Po	84	15990.06	11.7	7656.72	4.13	5327.02	1.3	-9055.71	9.47	-1707.41
206	At	85	16696.92	26.9	6361.76	17.62	5886.85	4.94	-11187.3	31.96	1345.82
206	Rn	86	17305.41	11.3	5369.66	13.91	6383.74	1.64	-12698.5	19.91	1099.46
206	Fr	87	17992.36	37.41	3944.92	35.94	6923.4	3.5	-14721.87	57.83	4440.56
206	Ra	88	18633.88	23.58	3042.21	19.42	7415.26	4.16	*	3986.35	18.69
206	Ac	89	*	1705.8	56.16	7958.3	50	*	7500.29	51.1	*
Pt	78	7716#	499#	*	675#	566#	11947#	402#	*	1603#	499#
207	Au	79	8183#	358#	19428#	586#	1455#	500#	10224#	300#	*
207	Hg	80	10342.34	30.03	18099#	300#	714#	198#	5964.6	29.83	-14145#
207	Tl	81	13356.21	5.42	16843#	196#	-315.93	6.24	-979.82	5.8	-14109#
207	Pb	82	14824.44	0.11	14742.25	3.7	392.3	1.27	-5306.27	6.56	-8795.22
207	Bi	83	15132.76	5.53	10811.69	2.12	3281.83	2.13	-6827.21	12.63	-5090.23
207	Po	84	15767.01	12.06	7953.48	6.56	5215.87	2.5	-8511.01	10.8	-649.16
207	At	85	16398.1	19.49	6740.85	13.42	5872.5	3.06	-10383.08	21.46	-488.11
207	Rn	86	17067.61	9.9	5691.31	13.17	6251.21	1.65	-12179.25	53.88	2264.94
207	Fr	87	17677.16	19.17	4450.34	23.11	6893.3	19.77	-13990.57	53.34	2296.41
207	Ra	88	18437.14	88.34	3323.67	53.44	7273.27	50	*	5388.48	53.89
207	Ac	89	19103.09	71.56	2121.9	50.99	7844.9	50	*	5099.68	57.74
Pt	78	7501#	499#	*	*	12275#	401#	*	1748#	500#	
208	Au	79	8029#	422#	*	1161#	499#	10649#	298#	*	2315#
208	Hg	80	8462.24	36.91	18212#	300#	2232#	198#	8483.19	30.76	-16014#
208	Tl	81	10639.4	1.78	17113#	298#	1475#	200#	2120.09	2.61	-13229#
208	Pb	82	14105.65	0.11	15380.74	20.41	516.63	1.18	-4279	1.31	-12550.12
208	Bi	83	14984.58	7.81	11194.8	2.01	3051.01	2.01	-6400.35	9.21	-5124.74
208	Po	84	15423.56	4.33	8261.95	1.31	5215.38	1.3	-7814	11.16	-2306.52
208	At	85	16182.79	17.49	7019.53	11.74	5751.11	2.16	-9803.95	14.82	295.79
208	Rn	86	16665.26	14.01	6044.86	11.82	6260.74	1.67	-11383.45	14.25	201.21
208	Fr	87	17566.14	30.58	4814.14	19.15	6784.6	24.12	-13419.15	56.96	3272.53
208	Ra	88	17980.32	20.08	3717.12	12.4	7273.13	5.1	-14955.87	35.34	3073.65
208	Ac	89	18868.85	75.19	2582.29	62.44	7721.01	50	*	6308.61	58.4
208	Th	90	*	1459.75	38.62	8202.03	30.59	*	5850.28	63.24	*
Au	79	7873#	500#	*	995#	642#	11105#	400#	*	2654#	401#
209	Hg	80	8299#	152#	18682#	427#	1897#	333#	8970#	149#	-14943#
209	Tl	81	8752.94	8.04	17413#	300#	2700#	196#	4613.91	6.16	-14832#
209	Pb	82	11305.23	1.34	15705.14	29.86	2248.18	3.93	-1248.55	1.91	-11638.21
209	Bi	83	14346.67	1.98	11802.15	5.45	3137.3	0.77	-5376.05	5.16	-8797.5
209	Po	84	15362.95	6.7	8491.99	1.37	4979.23	1.36	-7425.04	10.11	-1906.46
209	At	85	15797.83	13.41	7405.93	5.53	5756.98	2	-9113.04	15.5	-1301.36
209	Rn	86	16448.92	13.09	6373.22	11.98	6155.43	1.95	-10799.27	11.5	1239.58
209	Fr	87	17067.87	22.83	5120.1	19.15	6777.46	3.6	-12613.38	52.69	1411.33
209	Ra	88	17828.9	53.51	4084.96	10.26	7143.09	2.69	-14509#	140#	4224.84
209	Ac	89	18445.06	71.41	2889.79	53.55	7728.71	50	*	4220.76	51.97
209	Th	90	*	1755#	149#	8103#	140#	*	7350#	140#	*
Au	79	7713#	499#	*	*	11576#	401#	*	2902#	427#	
210	Hg	80	8243#	198#	18953#	445#	1841#	357#	9363#	196#	*
210	Tl	81	8639.47	11.67	17724#	298#	2543#	298#	5545.01	11.57	-13996#
210	Pb	82	9122.54	0.92	16041.04	30.77	3792.38	20.39	1224.64	0.91	-13373#
210	Bi	83	12064.39	1.86	12619.79	1.83	5036.47	0.78	-2819.8	7.65	-8436.19
210	Po	84	14626.18	1.31	8782.48	0.13	5407.53	0.07	-6348.37	4.66	-5627.46
210	At	85	15644.94	11.78	7679.9	7.87	5631.19	0.98	-8638.97	16.99	-1002.49
210	Rn	86	16091.81	12.02	6713.12	4.84	6158.99	2.16	-10047.56	10.25	-527.65
210	Fr	87	16809.92	19.23	5441.28	17.58	6671.6	5.03	-12122.9	59.37	2260.44
210	Ra	88	17427.7	12.82	4479.56	14.39	7150.84	3.27	-13616.65	20.99	2094.87
210	Ac	89	18106.17	79.99	3122.32	58.61	7607.2	50	*	5270.3	59.24
210	Th	90	18766.92	39.05	2246.35	20.89	8068.99	5.77	*	4912.26	19.74
Hg	80	8122#	246#	*	1491#	446#	9869#	196#	*	552#	196#
211	Tl	81	8575.88	42.36	18116#	402#	2307#	303#	5781.13	42.27	-15696#
211	Pb	82	9020.94	2.75	16427#	149#	3569.58	29.89	1939.62	2.48	-12417#
211	Bi	83	9743.1	5.45	12792.32	8.04	6750.4	0.46	-211.87	5.94	-9901.13
211	Po	84	12209.11	1.46	9395.87	1.44	7594.56	0.51	-3677.17	6.74	-4993.04
211	At	85	14907.28	5.68	7966.54	2.37	5982.45	1.3	-7507.01	12.29	-4144.26
211	Rn	86	15956.99	12.06	6967.25	6.85	5965.45	1.44	-9587.43	10.45	-91.24
211	Fr	87	16513.31	18.88	5835.58	13.03	6662.25	3.18	-11342.46	54.32	542.96
211	Ra	88	17168.83	9.78	4804.87	12.72	7041.87	3.08	-13078.15	73.44	3147.82
211	Ac	89	17784.23	73.26	3606.16	54.96	7621.64	50	-14878#	115#	3246.45
211	Th	90	18600#	157#	2525.99	73.23	7940.77	50	*	6178.41	73.58
211	Pa	91	*	1342#	114#	8509#	114#	*	6001#	117#	*
Hg	80	8020#	357#	*	1322#	499#	10306#	298#	*	764#	301#
212	Tl	81	8447#	201#	18458#	448#	2125#	359#	6567#	200#	*
212	Pb	82	8962.98	2.1	16761#	196#	3291.64	30.79	2820.64	1.91	-14214#
212	Bi	83	9468.61	1.83	13448.93	11.67	6207.26	0.03	510.27	2.68	-9328.93
212	Po	84	10558.98	0.17	10218.93	0.93	8954.2	0.11	-1709.88	2.94	-7165.51
212	At	85	12798.68	7.89	8414.18	1.96	7817.09	0.61	-5112.25	9.09	-4058.06
212	Rn	86	15197.47	5.5	7284.41	2.93	6385.07	2.62	-8460.64	11.58	-3516.01
212	Fr	87	16325.4	17.5	6121.73	11.67	6528.99	1.61	-10793.27	52.13	842.33
212	Ra	88	16784.39	14.48	5172.14	12.13	7031.71	1.67	-12309.78	15.05	1267.47
212	Ac	89	17655.04	77.04	3967.44	53.57	7518.3	50	-14316.06	90.8	4128.58
212	Th	90	18091.27	21.39	2909.92	13.61	7958.04	4.56	*	3989.81	12.84
212	Pa	91	*	1774.28	94.34	8415.21	50	*	7102.17	91.71	*
Hg	80	7852#	357#	*	*	10870#	298#	*	1146#	359#	
213	Tl	81	8280.82	49.87	*	1899#	401#	7015.45	27.49	*	1261.34
213	Pb	82	8853.22	7.15	17157#	196#	3016#	149#	3450.05	7.55	-13250#
213	Bi	83	9515.14	7.29	13731.58	42.22	5988.21	3.39	1347.96	6.97	-10970#
213	Po	84	10363.65	2.9	10738.58	3.69	8536.15	2.56	-957.56	4.27	-6393.7
213	At	85	11074.97	5.27	9298.4	7.2	9254.15	4.7	-3026.75	6.98	-5750.61
213	Rn	86	13083.26	7.43	7841.4	3.21	8245.15	2.86	-6041.58	10.37	-2615.51
213	Fr	87	15555.23	13.02	6483.52	5.67	6904.85	1.23	-9707.54	16.09	-2213.6
213	Ra	88	16629.1	12.61	5476.98	11.95	6861.69	2.28	-11774.53	13.47	1716.19
213	Ac	89	17190.16	55.13	4283	19.37	7499.35	4.32	-13507.93	72.76	2381.69
213	Th	90	17932.72	73.59	3289.88	12.15	7836.95	7.21	*	5030.08	14.53
213	Pa	91	18560#	125#	2117.53	88.7	8393.9	50	*	5096.36	87.76
Hg	80	7722#	499#	*	*	11361#	401#	*	1323#	401#	
214	Tl	81	8127#	280#	*	1711#	446#	7665#	196#	*	1597#
214	Pb	82	8776.55	2	17518#	298#	2758#	196#	4287.28	2.32	-15138#
214	Bi	83	9225.43	11.28	14228#	201#	5621.3	3	2179.08	11.89	-10273.53
214	Po	84	10243.19	0.93	11499.14	2.1	7833.54	0.06	-150.3	9.16	-8555.48
214	At	85	10894.24	4.52	9839.82	4.47	8987.23	4.08	-2421.12	9.51	-5437.17
214	Rn	86	11802.77	9.57	8528.2	9.12	9208.48	9.12	-4412.48	10.56	-4955.13
214	Fr	87	13585.37	12.31	6908.43	8.81	8588.55	3.91	-7402.56	17.61	-1668.08
214	Ra	88	15850.93	12.41	5825.6	6.09	7272.59	2.61	-10602.15	11.87	-1500.21
214	Ac	89	16976.08	53.63	4618.12	17.68	7352.14	2.51	-13041.66	77.66	2707.73
214	Th	90	17558.56	14.64	3684.09	15.46	7827.18	5.4	*	3060.36	14.49
214	Pa	91	18250.48	106.77	2369.72	91.84	8270.9	50	*	6041.85	77.64
Hg	80	7601#	499#	*	*	11866#	404#	*	1672#	446#	
215	Tl	81	8015#	299#	*	*	8282#	298#	*	2023#	298#
215	Pb	82	8596.86	52.91	17902#	303#	2541#	203#	4883.95	52.49	-14125#
215	Bi	83	9281.68	7.37	14732.43	27.59	5282.4	42.29	2885.08	8.67	-12124#
215	Po	84	10030.76	3.6	11916.12	7.11	7526.33	0.81	626.85	7.93	-7647.91
215	At	85	10818.8	8.28	10602.06	8.35	8178.46	4.08	-1573.82	9.72	-7343.97
215	Rn	86	11615.17	8.22	9092.92	8.11	8839.09	7.57	-3702.3	10.69	-3987.49
215	Fr	87	12271.72	8.64	7680.28	8.38	9540.41	6.52	-5712.55	14.27	-3591.07
215	Ra	88	13954.45	12.42	6348.18	8.17	8864.23	3.4	-8387.85	11.67	-435.49
215	Ac	89	16266.71	19.63	4994.48	13.41	7745.95	3.18	-11833.32	73.89	-299.65
215	Th	90	17341.13	12.77	4001.91	13.21	7664.65	3.93	-14001.5	88.93	3539.88
215	Pa	91	17941.32	101.82	2868.69	74.43	8236.81	50	*	4131.11	74.45
215	U	92	*	1774.94	88.97	8588	50	*	6939.23	89.13	*
Hg	80	7461#	566#	*	*	12380#	446#	*	1877#	499#	
216	Tl	81	7890#	357#	*	*	8844#	298#	*	2304#	303#
216	Pb	82	8480#	196#	18276#	446#	2298#	357#	5697#	196#	-16017#
216	Bi	83	9067.89	15.83	15169#	196#	5000#	200#	3617.32	11.74	-11326#
216	Po	84	9890.17	2.09	12612.75	1.96	6906.35	0.51	1529.55	6.18	-9848.79
216	At	85	10506.14	5.41	11120.52	11.69	7949.71	3.06	-714.28	5.32	-6661.63
216	Rn	86	11570.02	10.85	9855.03	5.96	8197.44	5.88	-3038.21	10.47	-6494.4
216	Fr	87	12212.98	9.45	8227.16	5.67	9174.26	3.43	-5173.45	11.61	-3062.27
216	Ra	88	12944.29	10.17	6967.12	12.57	9525.77	8.15	-7007.25	14.79	-2829.33
216	Ac	89	14442.09	18.79	5474.84	13.86	9235.45	6.37	-9654.82	54.61	537.36
216	Th	90	16539.19	16.03	4372.34	13.12	8072.38	4.26	-12768.02	30.52	475.62
216	Pa	91	17828.94	93.06	3222.58	55.69	8097	15	*	4479.63	54.94
216	U	92	*	2206.47	30.02	8530.63	26.21	*	4855.79	29.45	*
Tl	81	7741#	499#	*	*	9583#	401#	*	2762#	446#	
217	Pb	82	8245#	303#	18546#	499#	2149#	422#	6356#	298#	-14909#
217	Bi	83	9041.99	18.57	15759#	299#	4521.24	32.29	4335.33	18.39	-13277#
217	Po	84	9717.41	6.71	13036.67	52.85	6662.13	2.35	2225.02	7.73	-8885#
217	At	85	10492.24	8.3	11812.63	7.31	7201.35	1.22	80.05	8.15	-8768.33
217	Rn	86	11315.57	8.6	10377.73	4.61	7887.17	2.88	-2231.16	8.19	-5412.89
217	Fr	87	12146.11	9.43	9007.6	9.34	8469.27	4.32	-4389.08	13.08	-5231.05
217	Ra	88	12786.72	10.36	7519.72	10.4	9160.77	6.36	-6316.12	12.82	-1652.18
217	Ac	89	13469.58	16.84	6192.33	13.36	9831.6	10.19	-8364.74	19.57	-1556.25
217	Th	90	14858.44	13.81	4905.9	13.06	9435.31	4.03	-10768#	72#	1625.73
217	Pa	91	16938.16	74.56	3540.15	20.14	8488.8	4.49	*	1635.04	19.24
217	U	92	18092#	114#	2526#	72#	8428#	71#	*	5386#	72#
Tl	81	7680#	499#	*	*	9964#	401#	*	2869#	499#	
218	Pb	82	8169#	357#	18984#	499#	1851#	499#	7097#	298#	*
218	Bi	83	8800.59	29.23	16080#	299#	4327#	197#	5117.87	29.4	-12386#
218	Po	84	9568.15	1.96	13701#	196#	6114.75	0.09	3139.55	2.92	-11172#
218	At	85	10301.14	12.06	12353.77	16.11	6874	3	1039.05	12.43	-7920.77
218	Rn	86	11178.16	6.23	11143.01	2.74	7262.48	1.85	-1433.82	11.3	-7955.14
218	Fr	87	12054.47	6.03	9775.49	5.78	8014.03	2.04	-3784.49	50.94	-4624.49
218	Ra	88	12782.54	14.09	8179.64	12.58	8546	6.36	-5715.57	15.33	-4296.3
218	Ac	89	13443.42	51.88	6705.28	50.89	9377.4	50	-7840.16	53.95	-759.95
218	Th	90	14074.23	15.98	5502.28	13.66	9849.09	9.11	-9527.87	17.28	-811.89
218	Pa	91	15258.08	56.58	4038.57	21.29	9815	10	*	2691.13	21.58
218	U	92	17314.38	31.24	2981.67	18.21	8774.81	8.63	*	2399.86	17.34
Pb	82	8104#	499#	*	1646#	566#	7597#	401#	*	-1009#	401#
219	Bi	83	8590#	196#	16609#	446#	3947#	357#	5886#	196#	-14187#
219	Po	84	9344.79	17.13	14136#	298#	5914.2	50	3851.96	15.97	-10061#
219	At	85	10141.19	5.65	12911.83	17.99	6341.84	4.83	1778.31	7.56	-10108.93
219	Rn	86	10971.73	4.6	11632.06	6.7	6946.19	0.31	-564.88	8.49	-6816.47
219	Fr	87	11839.46	9.51	10354.81	8.5	7448.61	1.82	-2951.71	50.97	-6769.37
219	Ra	88	12638.01	10.84	8842.16	9.13	8137.93	3.06	-5077.11	51.22	-3112.04
219	Ac	89	13276.83	51.75	7323.05	50.88	8826.5	50	-6970.65	72.14	-2778.61
219	Th	90	13877.02	51.68	5996.21	51.06	9512.74	50	-8815.18	71.67	531.25
219	Pa	91	14670.91	53.9	4741.48	52.76	10084.6	50	-10916.52	102.28	407.55
219	U	92	15830#	88#	3497.15	51.87	9940.07	50	*	3630.86	51.85
219	Np	93	*	2189.7	89.78	9167.8	50	*	3483.91	90.23	*
Pb	82	7927#	499#	*	1385#	566#	8406#	401#	*	-685#	446#
220	Bi	83	8540#	299#	16939#	499#	3676#	422#	6443#	298#	*
220	Po	84	9236.07	17.81	14768#	299#	5359#	196#	4651.38	17.79	-12304#
220	At	85	9865.05	18.16	13418.23	30.41	6076.84	17.89	2893.43	14.54	-9196#
220	Rn	86	10747.9	2.74	12322.76	1.96	6404.74	0.1	341.83	8.37	-9358.25
220	Fr	87	11719.43	6.08	11193.78	12.21	6800.74	1.86	-2261.36	7.2	-6202.73
220	Ra	88	12523.56	13.79	9525.04	8.41	7592.46	5.65	-4398.85	23.59	-5848.13
220	Ac	89	13242.56	51.08	7893.38	7.52	8347.82	4.49	-6475#	52#	-2163.05
220	Th	90	13840.28	24.53	6560.01	24.77	8953.11	20.37	-8264#	103#	-2014.15
220	Pa	91	14608#	54#	5203#	72#	9649#	50#	-10093#	202#	1360#
220	U	92	15104#	102#	4011#	101#	10210#	100#	*	1173#	113#
220	Np	93	*	2951#	196#	10087#	203#	*	4482#	202#	*
Bi	83	8327#	357#	*	3360#	499#	7315#	298#	*	763#	299#
221	Po	84	9050.24	25.17	15083#	401#	5109#	299#	5302.33	20.38	-11184#
221	At	85	9755.98	14.34	14078#	196#	5627.85	22.55	3505.44	14.8	-11325#
221	Rn	86	10500.62	5.9	12787.88	16.83	6162.99	3.19	1507.61	7.31	-8081.01
221	Fr	87	11483.11	8.43	11696.73	5.55	6457.74	1.4	-1245.82	50.65	-8387.43
221	Ra	88	12573.1	9.34	10443.53	5	6880.39	1.95	-3976.56	9.26	-4937.24
221	Ac	89	13189.01	71.34	8672.6	50.9	7783.6	50	-5853.18	71.91	-4248.18
221	Th	90	13673.65	51.21	7031.85	11.5	8625.8	3.85	-7579.62	51.76	-618.85
221	Pa	91	14306.48	72.69	5771.13	71.96	9247.7	50	-9473#	207#	-656.36
221	U	92	14909.21	72.05	4529.34	71.91	9889.3	50	*	2561.93	55.71
221	Np	93	15750#	219#	3268#	207#	10356#	201#	*	2342#	207#
Bi	83	8232#	423#	*	3124#	500#	7776#	300#	*	884#	301#
222	Po	84	8919.83	43.79	15761#	403#	4608#	301#	6114.06	40.1	*
222	At	85	9565.36	21.12	14444#	298#	5312.07	31.31	4574.92	17.5	-10434#
222	Rn	86	10382.51	1.93	13469.2	17.81	5590.39	0.31	2052.02	4.71	-10690.52
222	Fr	87	11246.85	8.47	12575.58	15.84	5855.03	13.79	-243.37	9.07	-7693.59
222	Ra	88	12092.69	9.27	10869.83	4.61	6677.93	4.23	-2882.92	12.99	-7440.2
222	Ac	89	13264.84	7.79	9438.79	6.41	7137.44	2.04	-5533#	73#	-3944.79
222	Th	90	13608.62	25.29	7645.08	14.7	8127.03	5.09	-7069.72	53.42	-3049.67
222	Pa	91	14206#	89#	6167#	73#	8886#	52#	-8864#	209#	343#
222	U	92	14803#	113#	4974.21	56.52	9481.17	50.92	*	43.49	52.63
222	Np	93	15435#	277#	3778#	202#	9910#	196#	*	3353#	202#
Bi	83	8104#	499#	*	*	8709#	401#	*	1579#	403#	
223	Po	84	8838#	197#	*	4375#	446#	6689#	196#	*	-1946#
223	At	85	9497.36	19.76	15248#	298#	4721#	196#	5045.61	14.11	-12590#
223	Rn	86	10224.32	9.69	13961.96	21.07	5283.46	17.66	3156.43	8.1	-9385.5
223	Fr	87	11037.53	4.83	12978.27	14.11	5561.4	2.82	556.51	7.13	-9859.6
223	Ra	88	11873.14	5	11816.05	5.89	5978.99	0.21	-2152.52	9.42	-6427.87
223	Ac	89	12839.86	50.91	10029.35	8.49	6783.2	1	-4494.79	71.41	-5841.19
223	Th	90	13697.17	12.2	8155.92	10.19	7566.63	4.08	-6451.18	71.7	-2223.33
223	Pa	91	14198.25	87.63	6780.37	87.11	8326.28	50	-8279#	208#	-1589.77
223	U	92	14825.62	87.58	5681.31	71.57	8940.7	50	*	1344.92	72.15
223	Np	93	15393#	280#	4355#	202#	9635#	202#	*	1156#	209#
Bi	83	8041#	500#	*	*	9119#	400#	*	1680#	445#	
224	Po	84	8719#	200#	*	3816#	446#	7465#	196#	*	-1589#
224	At	85	9384.65	27.4	15596#	301#	4467#	299#	5962.4	24.99	-11714#
224	Rn	86	10069.74	10.01	14619.11	41.24	4756.72	20.24	3619.18	9.98	-11922#
224	Fr	87	10772.12	13.43	13782.35	19.38	4947.95	17.89	1514.48	11.9	-8968.36
224	Ra	88	11636.91	4.61	12124.23	1.93	5788.92	0.15	-1167.82	10.23	-8852.79
224	Ac	89	12529.97	6.45	10721.91	8.5	6326.9	0.7	-3628.14	8.51	-5437.23
224	Th	90	13352.01	15.83	8904.4	10.97	7298.57	5.88	-5728.52	25.23	-4528.55
224	Pa	91	14435#	73#	7337.14	8.98	7693.68	4.47	-8013#	196#	-1252.57
224	U	92	14693.21	56.92	6058.8	26.17	8628.24	6.75	*	-952.55	24.88
224	Np	93	15286#	277#	4857#	209#	9232#	202#	*	2266#	208#
Po	84	8691#	357#	*	*	7996#	298#	*	-1252#	299#	
225	At	85	9176#	298#	16320#	499#	3872#	422#	6574#	298#	-13725#
225	Rn	86	9998.23	13.61	15122#	196#	4335.47	22.51	4541.03	11.44	-10665#
225	Fr	87	10704.42	12.11	14185.34	18.4	4612.97	18.4	2183.26	12.85	-11179.38
225	Ra	88	11382.83	2.97	12974.57	8.24	5096.77	5.09	-317.02	5.65	-7740.96
225	Ac	89	12331.17	8.41	11322.99	4.69	5935.14	1.43	-2703.38	71.16	-7400.24
225	Th	90	13218.34	10.41	9501.12	5.43	6921.4	2.12	-5069.79	11.94	-3804.76
225	Pa	91	14122.59	100.44	8063.1	71.35	7392.7	50	-7246.98	100.85	-3182.38
225	U	92	14599.72	71.93	6583.85	14.19	8014.63	7.23	*	97.22	14.79
225	Np	93	15155#	208#	5310.91	100.89	8786.5	50	*	436.46	72.01
Po	84	8504#	446#	*	*	8801#	401#	*	-917#	499#	
226	At	85	9239#	299#	16794#	499#	3460#	423#	7094#	298#	*
226	Rn	86	9840.54	14.36	15741#	196#	3836.01	41.4	5079.37	10.65	-13072#
226	Fr	87	10370.71	12.8	14768.42	23.21	4142.6	17.02	3211.28	6.96	-10163#
226	Ra	88	11300.73	1.91	13355.21	10	4870.7	0.25	470.19	4.73	-10155.29
226	Ac	89	12067.51	4.96	12017.29	11.6	5506.24	8.07	-1724.01	11.79	-6800.32
226	Th	90	12938.73	10.99	10206.22	4.63	6452.53	1.01	-4131.24	13.68	-6084.45
226	Pa	91	13971.64	13.57	8778.8	12.05	6986.89	10.18	-6744#	89#	-2893.04
226	U	92	14536.02	26.52	7242.81	16.39	7700.84	4.27	*	-2270.23	13.87
226	Np	93	15241#	215#	5663#	88#	8197.51	50	*	1147#	113#
